x,rho,rhou,rhoE,u,p
0.0318032,1.0397,0.31191,2.59641,0.3,1.01985
0.0319032,1.03982,0.311947,2.59657,0.3,1.01991
0.0320032,1.03995,0.311984,2.59673,0.3,1.01997
0.0321032,1.04007,0.312021,2.59689,0.3,1.02003
0.0322032,1.04019,0.312058,2.59705,0.3,1.0201
0.0323032,1.04032,0.312095,2.59721,0.3,1.02016
0.0324032,1.04044,0.312132,2.59737,0.3,1.02022
0.0325033,1.04056,0.312168,2.59753,0.3,1.02028
0.0326033,1.04068,0.312205,2.59769,0.3,1.02034
0.0327033,1.04081,0.312242,2.59785,0.3,1.0204
0.0328033,1.04093,0.312279,2.59801,0.3,1.02047
0.0329033,1.04105,0.312316,2.59816,0.3,1.02053
0.0330033,1.04118,0.312353,2.59832,0.3,1.02059
0.0331033,1.0413,0.31239,2.59848,0.3,1.02065
0.0332033,1.04142,0.312427,2.59864,0.3,1.02071
0.0333033,1.04155,0.312464,2.5988,0.3,1.02077
0.0334033,1.04167,0.312501,2.59896,0.3,1.02083
0.0335034,1.04179,0.312537,2.59912,0.3,1.0209
0.0336034,1.04191,0.312574,2.59928,0.3,1.02096
0.0337034,1.04204,0.312611,2.59944,0.3,1.02102
0.0338034,1.04216,0.312648,2.5996,0.3,1.02108
0.0339034,1.04228,0.312685,2.59976,0.3,1.02114
0.0340034,1.04241,0.312722,2.59992,0.3,1.0212
0.0341034,1.04253,0.312759,2.60007,0.3,1.02126
0.0342034,1.04265,0.312795,2.60023,0.3,1.02133
0.0343034,1.04277,0.312832,2.60039,0.3,1.02139
0.0344034,1.0429,0.312869,2.60055,0.3,1.02145
0.0345035,1.04302,0.312906,2.60071,0.3,1.02151
0.0346035,1.04314,0.312943,2.60087,0.3,1.02157
0.0347035,1.04326,0.312979,2.60103,0.3,1.02163
0.0348035,1.04339,0.313016,2.60119,0.3,1.02169
0.0349035,1.04351,0.313053,2.60135,0.3,1.02176
0.0350035,1.04363,0.31309,2.6015,0.3,1.02182
0.0351035,1.04376,0.313127,2.60166,0.3,1.02188
0.0352035,1.04388,0.313163,2.60182,0.3,1.02194
0.0353035,1.044,0.3132,2.60198,0.3,1.022
0.0354035,1.04412,0.313237,2.60214,0.3,1.02206
0.0355036,1.04425,0.313274,2.6023,0.3,1.02212
0.0356036,1.04437,0.313311,2.60246,0.3,1.02218
0.0357036,1.04449,0.313347,2.60262,0.3,1.02225
0.0358036,1.04461,0.313384,2.60277,0.3,1.02231
0.0359036,1.04474,0.313421,2.60293,0.3,1.02237
0.0360036,1.04486,0.313458,2.60309,0.3,1.02243
0.0361036,1.04498,0.313494,2.60325,0.3,1.02249
0.0362036,1.0451,0.313531,2.60341,0.3,1.02255
0.0363036,1.04523,0.313568,2.60357,0.3,1.02261
0.0364036,1.04535,0.313604,2.60373,0.3,1.02267
0.0365037,1.04547,0.313641,2.60388,0.3,1.02274
0.0366037,1.04559,0.313678,2.60404,0.3,1.0228
0.0367037,1.04572,0.313715,2.6042,0.3,1.02286
0.0368037,1.04584,0.313751,2.60436,0.3,1.02292
0.0369037,1.04596,0.313788,2.60452,0.3,1.02298
0.0370037,1.04608,0.313825,2.60468,0.3,1.02304
0.0371037,1.0462,0.313861,2.60484,0.3,1.0231
0.0372037,1.04633,0.313898,2.60499,0.3,1.02316
0.0373037,1.04645,0.313935,2.60515,0.3,1.02322
0.0374037,1.04657,0.313971,2.60531,0.3,1.02329
0.0375038,1.04669,0.314008,2.60547,0.3,1.02335
0.0376038,1.04682,0.314045,2.60563,0.3,1.02341
0.0377038,1.04694,0.314081,2.60578,0.3,1.02347
0.0378038,1.04706,0.314118,2.60594,0.3,1.02353
0.0379038,1.04718,0.314155,2.6061,0.3,1.02359
0.0380038,1.0473,0.314191,2.60626,0.3,1.02365
0.0381038,1.04743,0.314228,2.60642,0.3,1.02371
0.0382038,1.04755,0.314265,2.60658,0.3,1.02377
0.0383038,1.04767,0.314301,2.60673,0.3,1.02384
0.0384038,1.04779,0.314338,2.60689,0.3,1.0239
0.0385039,1.04791,0.314374,2.60705,0.3,1.02396
0.0386039,1.04804,0.314411,2.60721,0.3,1.02402
0.0387039,1.04816,0.314448,2.60737,0.3,1.02408
0.0388039,1.04828,0.314484,2.60752,0.3,1.02414
0.0389039,1.0484,0.314521,2.60768,0.3,1.0242
0.0390039,1.04852,0.314557,2.60784,0.3,1.02426
0.0391039,1.04865,0.314594,2.608,0.3,1.02432
0.0392039,1.04877,0.314631,2.60816,0.3,1.02438
0.0393039,1.04889,0.314667,2.60831,0.3,1.02445
0.0394039,1.04901,0.314704,2.60847,0.3,1.02451
